Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. slagen,[],Gemiddeld tempo,Beste tempo,Stijging,Hoogteverlies,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. GCT balans,Gem. slagen,[],Normalized Power® (NP®),L/R-balans,Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Vermogen,Max. vermogen,Totaal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Max diepte,Bodemtijd,Minimale watertemperatuur,Gastype,Oppervlakte-interval,Decompressie,Gewicht,Stroming,Oppervlakteomstandigheden,Watertype
hiking,2018-06-17 12:38:23,false,"Pieterpad LAW 9-2 13","16.55","1,067","3:09:00","91","153","1.9","117","177","11:25","1:42","171","189","0.73","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
hiking,2018-06-16 11:37:55,false,"Pieterpad LAW 9-2 12","21.21","1,390","4:17:15","77","122","2.0","116","241","12:08","4:54","222","194","0.71","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-06-13 21:09:28,false,"Zaltbommel Hardlopen","6.23","377","28:15","144","186","3.4","179","193","4:32","3:46","10","10","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-06-12 17:37:41,false,"'s-Hertogenbosch Fietsen","14.87","439","36:50","119","132","1.8","--","--","24.2","34.4","4","8","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-06-12 07:23:33,false,"Zaltbommel Fietsen","16.81","444","38:33","118","132","1.8","--","--","26.2","38.7","10","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-06-10 18:58:58,false,"Zaltbommel Hardlopen","7.26","422","33:55","140","162","3.2","178","195","4:41","3:59","13","12","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-06-06 20:15:38,false,"Zaltbommel Hardlopen","16.39","1,070","1:15:34","155","170","5.0","181","189","4:37","4:13","11","10","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-06-03 20:57:56,false,"Zaltbommel Hardlopen","6.21","390","31:00","139","157","3.1","174","183","4:59","4:10","9","6","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-06-01 15:37:40,false,"'s-Hertogenbosch Fietsen","15.20","421","36:55","117","131","1.8","--","--","24.7","33.1","1","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-06-01 07:57:45,false,"Zaltbommel Fietsen","10.00","248","23:26","111","123","1.4","--","--","25.6","35.2","12","11","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-05-29 15:51:33,false,"'s-Hertogenbosch Fietsen","16.64","369","38:07","108","131","1.6","--","--","26.2","34.6","7","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-05-29 07:34:53,false,"Zaltbommel Fietsen","16.73","406","37:35","115","132","1.7","--","--","26.7","40.0","7","2","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-05-27 08:17:35,false,"Zaltbommel Hardlopen","9.61","570","47:05","137","155","3.3","173","197","4:54","4:16","11","9","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-05-23 20:15:59,false,"Zaltbommel Hardlopen","10.41","691","49:58","145","167","3.9","175","193","4:48","3:52","8","6","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-05-22 16:22:06,false,"'s-Hertogenbosch Fietsen","16.60","435","42:54","111","129","1.7","--","--","23.2","30.8","7","10","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-05-22 07:47:46,false,"Zaltbommel Fietsen","16.72","437","37:54","116","136","1.9","--","--","26.5","37.4","13","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
